Year: Month,Months,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0: 0,0,2.1,2.5,2.9,3.3,3.9,4.4,5.0
0: 1,1,2.9,3.4,3.9,4.5,5.1,5.8,6.6
0: 2,2,3.8,4.3,4.9,5.6,6.3,7.1,8.0
0: 3,3,4.4,5.0,5.7,6.4,7.2,8.0,9.0
0: 4,4,4.9,5.6,6.2,7.0,7.8,8.7,9.7
0: 5,5,5.3,6.0,6.7,7.5,8.4,9.3,10.4
0: 6,6,5.7,6.4,7.1,7.9,8.8,9.8,10.9
0: 7,7,5.9,6.7,7.4,8.3,9.2,10.3,11.4
0: 8,8,6.2,6.9,7.7,8.6,9.6,10.7,11.9
0: 9,9,6.4,7.1,8.0,8.9,9.9,11.0,12.3
00:10,10,6.6,7.4,8.2,9.2,10.2,11.4,12.7
00:11,11,6.8,7.6,8.4,9.4,10.5,11.7,13.0
1: 0,12,6.9,7.7,8.6,9.6,10.8,12.0,13.3
1: 1,13,7.1,7.9,8.8,9.9,11.0,12.3,13.7
1: 2,14,7.2,8.1,9.0,10.1,11.3,12.6,14.0
1: 3,15,7.4,8.3,9.2,10.3,11.5,12.8,14.3
1: 4,16,7.5,8.4,9.4,10.5,11.7,13.1,14.6
1: 5,17,7.7,8.6,9.6,10.7,12.0,13.4,14.9
1: 6,18,7.8,8.8,9.8,10.9,12.2,13.7,15.3
1: 7,19,8.0,8.9,10.0,11.1,12.5,13.9,15.6
1: 8,20,8.1,9.1,10.1,11.3,12.7,14.2,15.9
1: 9,21,8.2,9.2,10.3,11.5,12.9,14.5,16.2
01:10,22,8.4,9.4,10.5,11.8,13.2,14.7,16.5
01:11,23,8.5,9.5,10.7,12.0,13.4,15.0,16.8
2: 0,24,8.6,9.7,10.8,12.2,13.6,15.3,17.1
2: 1,25,8.8,9.8,11.0,12.4,13.9,15.5,17.5
2: 2,26,8.9,10.0,11.2,12.5,14.1,15.8,17.8
2: 3,27,9.0,10.1,11.3,12.7,14.3,16.1,18.1
2: 4,28,9.1,10.2,11.5,12.9,14.5,16.3,18.4
2: 5,29,9.2,10.4,11.7,13.1,14.8,16.6,18.7
2: 6,30,9.4,10.5,11.8,13.3,15.0,16.9,19.0
2: 7,31,9.5,10.7,12.0,13.5,15.2,17.1,19.3
2: 8,32,9.6,10.8,12.1,13.7,15.4,17.4,19.6
2: 9,33,9.7,10.9,12.3,13.8,15.6,17.6,19.9
02:10,34,9.8,11.0,12.4,14.0,15.8,17.8,20.2
02:11,35,9.9,11.2,12.6,14.2,16.0,18.1,20.4
3: 0,36,10.0,11.3,12.7,14.3,16.2,18.3,20.7
3: 1,37,10.1,11.4,12.9,14.5,16.4,18.6,21.0
3: 2,38,10.2,11.5,13.0,14.7,16.6,18.8,21.3
3: 3,39,10.3,11.6,13.1,14.8,16.8,19.0,21.6
3: 4,40,10.4,11.8,13.3,15.0,17.0,19.3,21.9
3: 5,41,10.5,11.9,13.4,15.2,17.2,19.5,22.1
3: 6,42,10.6,12.0,13.6,15.3,17.4,19.7,22.4
3: 7,43,10.7,12.1,13.7,15.5,17.6,20.0,22.7
3: 8,44,10.8,12.2,13.8,15.7,17.8,20.2,23.0
3: 9,45,10.9,12.4,14.0,15.8,18.0,20.5,23.3
03:10,46,11.0,12.5,14.1,16.0,18.2,20.7,23.6
03:11,47,11.1,12.6,14.3,16.2,18.4,20.9,23.9
4: 0,48,11.2,12.7,14.4,16.3,18.6,21.2,24.2
4: 1,49,11.3,12.8,14.5,16.5,18.8,21.4,24.5
4: 2,50,11.4,12.9,14.7,16.7,19.0,21.7,24.8
4: 3,51,11.5,13.1,14.8,16.8,19.2,21.9,25.1
4: 4,52,11.6,13.2,15.0,17.0,19.4,22.2,25.4
4: 5,53,11.7,13.3,15.1,17.2,19.6,22.4,25.7
4: 6,54,11.8,13.4,15.2,17.3,19.8,22.7,26.0
4: 7,55,11.9,13.5,15.4,17.5,20.0,22.9,26.3
4: 8,56,12.0,13.6,15.5,17.7,20.2,23.2,26.6
4: 9,57,12.1,13.7,15.6,17.8,20.4,23.4,26.9
04:10,58,12.2,13.8,15.8,18.0,20.6,23.7,27.2
04:11,59,12.3,14.0,15.9,18.2,20.8,23.9,27.6
5: 0,60,12.4,14.1,16.0,18.3,21.0,24.2,27.9
